"X","Impostor","Crewmate","Wins","Losses","Exceptions","Round.limits","WinRate","ImpostorSize","CrewmateSize"
1,"Llama 3.1 8B","Llama 3.1 405B",1,5,0,4,0.1,"Small","Large"
3,"Llama 3.1 8B","GPT-4o",7,3,0,0,0.7,"Small","Large"
5,"Llama 3.1 8B","Gemini Pro 1.5",1,7,0,2,0.1,"Small","Large"
6,"Llama 3.1 8B","Claude 3.5 Sonnet",5,4,0,1,0.5,"Small","Large"
8,"Llama 3.1 405B","Llama 3.1 8B",7,3,0,0,0.7,"Large","Small"
10,"Llama 3.1 405B","GPT-4o mini",4,6,0,0,0.4,"Large","Small"
12,"Llama 3.1 405B","Gemini Flash 1.5",6,3,0,1,0.6,"Large","Small"
15,"Llama 3.1 405B","Claude 3.5 Haiku",4,6,0,0,0.4,"Large","Small"
17,"GPT-4o mini","Llama 3.1 405B",4,6,0,0,0.4,"Small","Large"
19,"GPT-4o mini","GPT-4o",8,2,0,0,0.8,"Small","Large"
21,"GPT-4o mini","Gemini Pro 1.5",2,8,0,0,0.2,"Small","Large"
22,"GPT-4o mini","Claude 3.5 Sonnet",4,6,0,0,0.4,"Small","Large"
24,"GPT-4o","Llama 3.1 8B",1,4,0,5,0.1,"Large","Small"
26,"GPT-4o","GPT-4o mini",4,3,0,3,0.4,"Large","Small"
28,"GPT-4o","Gemini Flash 1.5",4,1,0,5,0.4,"Large","Small"
31,"GPT-4o","Claude 3.5 Haiku",1,2,0,7,0.1,"Large","Small"
33,"Gemini Flash 1.5","Llama 3.1 405B",5,5,0,0,0.5,"Small","Large"
35,"Gemini Flash 1.5","GPT-4o",5,5,0,0,0.5,"Small","Large"
37,"Gemini Flash 1.5","Gemini Pro 1.5",1,9,0,0,0.1,"Small","Large"
38,"Gemini Flash 1.5","Claude 3.5 Sonnet",4,6,0,0,0.4,"Small","Large"
40,"Gemini Pro 1.5","Llama 3.1 8B",5,5,0,0,0.5,"Large","Small"
42,"Gemini Pro 1.5","GPT-4o mini",0,10,0,0,0,"Large","Small"
44,"Gemini Pro 1.5","Gemini Flash 1.5",3,6,0,1,0.3,"Large","Small"
47,"Gemini Pro 1.5","Claude 3.5 Haiku",2,7,0,1,0.2,"Large","Small"
48,"Claude 3.5 Sonnet","Llama 3.1 8B",4,6,0,0,0.4,"Large","Small"
50,"Claude 3.5 Sonnet","GPT-4o mini",4,6,0,0,0.4,"Large","Small"
52,"Claude 3.5 Sonnet","Gemini Flash 1.5",6,3,0,1,0.6,"Large","Small"
55,"Claude 3.5 Sonnet","Claude 3.5 Haiku",3,7,0,0,0.3,"Large","Small"
57,"Claude 3.5 Haiku","Llama 3.1 405B",3,6,0,1,0.3,"Small","Large"
59,"Claude 3.5 Haiku","GPT-4o",6,3,0,1,0.6,"Small","Large"
61,"Claude 3.5 Haiku","Gemini Pro 1.5",4,5,0,1,0.4,"Small","Large"
62,"Claude 3.5 Haiku","Claude 3.5 Sonnet",6,4,0,0,0.6,"Small","Large"
