,imp_model,crew_model,imp_out_tokens,crew_out_tokens,rounds,result,imp_pretend_count
0,claude-3-5-haiku,claude-3-5-haiku,6440,11838,6,imp,2
1,claude-3-5-haiku,claude-3-5-haiku,175461,327184,40,lim,11
2,claude-3-5-haiku,claude-3-5-haiku,146456,265404,37,imp,4
3,claude-3-5-haiku,claude-3-5-haiku,8400,14422,9,crew,1
4,claude-3-5-haiku,claude-3-5-haiku,205984,322017,40,lim,9
5,claude-3-5-haiku,claude-3-5-haiku,15211,34426,12,imp,2
6,claude-3-5-haiku,claude-3-5-haiku,201616,314122,40,lim,6
7,claude-3-5-haiku,claude-3-5-haiku,8864,20548,9,crew,2
8,claude-3-5-haiku,claude-3-5-haiku,81936,141876,29,crew,2
9,claude-3-5-haiku,claude-3-5-haiku,7837,20477,9,crew,2
10,claude-3-5-haiku,claude-3-5-sonnet,25569,33026,12,imp,6
11,claude-3-5-haiku,claude-3-5-sonnet,69866,136117,28,crew,13
12,claude-3-5-haiku,claude-3-5-sonnet,74847,127648,27,crew,9
13,claude-3-5-haiku,claude-3-5-sonnet,145025,188550,34,imp,8
14,claude-3-5-haiku,claude-3-5-sonnet,5367,11827,6,crew,1
15,claude-3-5-haiku,claude-3-5-sonnet,6808,17798,8,crew,2
16,claude-3-5-haiku,claude-3-5-sonnet,59628,111901,27,imp,7
17,claude-3-5-haiku,claude-3-5-sonnet,83242,177465,32,crew,13
18,claude-3-5-haiku,claude-3-5-sonnet,95628,147812,28,imp,6
19,claude-3-5-haiku,claude-3-5-sonnet,11673,18333,10,imp,2
20,claude-3-5-haiku,gemini-flash-1-5,7444,6813,6,imp,2
21,claude-3-5-haiku,gemini-flash-1-5,8071,12480,9,crew,2
22,claude-3-5-haiku,gemini-flash-1-5,11012,13284,9,imp,2
23,claude-3-5-haiku,gemini-flash-1-5,7897,11996,9,crew,2
24,claude-3-5-haiku,gemini-flash-1-5,3942,4014,6,imp,2
25,claude-3-5-haiku,gemini-flash-1-5,7797,9743,10,imp,3
26,claude-3-5-haiku,gemini-flash-1-5,126486,101447,31,imp,3
27,claude-3-5-haiku,gemini-flash-1-5,12012,15466,12,imp,2
28,claude-3-5-haiku,gemini-flash-1-5,183091,321101,40,lim,2
29,claude-3-5-haiku,gemini-flash-1-5,7599,10767,8,imp,1
30,claude-3-5-haiku,gemini-pro-1-5,7103,5840,8,crew,1
31,claude-3-5-haiku,gemini-pro-1-5,8493,6385,8,imp,1
32,claude-3-5-haiku,gemini-pro-1-5,7072,8723,8,crew,2
33,claude-3-5-haiku,gemini-pro-1-5,6063,6464,7,crew,2
34,claude-3-5-haiku,gemini-pro-1-5,8147,5817,8,crew,2
35,claude-3-5-haiku,gemini-pro-1-5,5808,7191,7,crew,2
36,claude-3-5-haiku,gemini-pro-1-5,191425,88038,40,lim,36
37,claude-3-5-haiku,gemini-pro-1-5,28055,12536,16,imp,7
38,claude-3-5-haiku,gemini-pro-1-5,8499,7404,8,imp,2
39,claude-3-5-haiku,gemini-pro-1-5,22291,17572,14,imp,2
40,claude-3-5-haiku,gpt-4o-mini,6602,10734,7,crew,2
41,claude-3-5-haiku,gpt-4o-mini,5713,9401,7,crew,1
42,claude-3-5-haiku,gpt-4o-mini,9128,8941,7,imp,3
43,claude-3-5-haiku,gpt-4o-mini,6868,6465,6,imp,2
44,claude-3-5-haiku,gpt-4o-mini,9574,12376,10,crew,2
45,claude-3-5-haiku,gpt-4o-mini,7045,8936,8,crew,1
46,claude-3-5-haiku,gpt-4o-mini,12948,16845,12,imp,2
47,claude-3-5-haiku,gpt-4o-mini,9280,12352,9,crew,2
48,claude-3-5-haiku,gpt-4o-mini,19180,22138,11,imp,3
49,claude-3-5-haiku,gpt-4o-mini,9614,12026,10,crew,3
50,claude-3-5-haiku,gpt-4o,8722,15799,9,crew,2
51,claude-3-5-haiku,gpt-4o,19940,30873,14,imp,3
52,claude-3-5-haiku,gpt-4o,6809,10631,7,crew,2
53,claude-3-5-haiku,gpt-4o,16266,17684,10,imp,5
54,claude-3-5-haiku,gpt-4o,61709,80142,25,imp,16
55,claude-3-5-haiku,gpt-4o,207552,251503,40,lim,11
56,claude-3-5-haiku,gpt-4o,63625,103990,25,imp,11
57,claude-3-5-haiku,gpt-4o,8016,10425,9,crew,2
58,claude-3-5-haiku,gpt-4o,50469,51379,19,imp,3
59,claude-3-5-haiku,gpt-4o,80607,126739,28,imp,6
60,claude-3-5-haiku,llama-3-1-405b-instruct,6821,18236,8,crew,2
61,claude-3-5-haiku,llama-3-1-405b-instruct,8952,13436,7,imp,2
62,claude-3-5-haiku,llama-3-1-405b-instruct,10537,19824,8,imp,4
63,claude-3-5-haiku,llama-3-1-405b-instruct,6463,14288,7,crew,1
64,claude-3-5-haiku,llama-3-1-405b-instruct,13914,28284,11,crew,3
65,claude-3-5-haiku,llama-3-1-405b-instruct,6337,11189,6,crew,1
66,claude-3-5-haiku,llama-3-1-405b-instruct,11994,21653,11,crew,2
67,claude-3-5-haiku,llama-3-1-405b-instruct,9360,15616,9,crew,2
68,claude-3-5-haiku,llama-3-1-405b-instruct,164738,277864,40,lim,5
69,claude-3-5-haiku,llama-3-1-405b-instruct,65666,91125,26,crew,16
70,claude-3-5-haiku,llama-3-1-8b-instruct,13469,35181,11,imp,4
71,claude-3-5-haiku,llama-3-1-8b-instruct,9563,21652,10,imp,3
72,claude-3-5-haiku,llama-3-1-8b-instruct,13594,27742,9,imp,5
73,claude-3-5-haiku,llama-3-1-8b-instruct,208304,576267,40,lim,13
74,claude-3-5-haiku,llama-3-1-8b-instruct,17286,34801,10,imp,3
75,claude-3-5-haiku,llama-3-1-8b-instruct,6631,11525,6,imp,3
76,claude-3-5-haiku,llama-3-1-8b-instruct,15697,38253,13,crew,3
77,claude-3-5-haiku,llama-3-1-8b-instruct,17804,30761,10,imp,4
78,claude-3-5-haiku,llama-3-1-8b-instruct,13267,38391,12,crew,4
79,claude-3-5-haiku,llama-3-1-8b-instruct,6940,7711,6,imp,2
80,claude-3-5-sonnet,claude-3-5-haiku,5284,16738,8,crew,1
81,claude-3-5-sonnet,claude-3-5-haiku,6971,18997,9,crew,2
82,claude-3-5-sonnet,claude-3-5-haiku,4536,13523,7,crew,1
83,claude-3-5-sonnet,claude-3-5-haiku,9058,27958,11,crew,4
84,claude-3-5-sonnet,claude-3-5-haiku,5782,16110,8,crew,1
85,claude-3-5-sonnet,claude-3-5-haiku,5838,15522,8,crew,1
86,claude-3-5-sonnet,claude-3-5-haiku,34959,83510,21,imp,6
87,claude-3-5-sonnet,claude-3-5-haiku,6417,16657,8,imp,1
88,claude-3-5-sonnet,claude-3-5-haiku,34660,117559,21,imp,7
89,claude-3-5-sonnet,claude-3-5-haiku,4972,14522,7,crew,1
90,claude-3-5-sonnet,claude-3-5-sonnet,17492,51573,15,crew,5
91,claude-3-5-sonnet,claude-3-5-sonnet,9423,19079,10,imp,3
92,claude-3-5-sonnet,claude-3-5-sonnet,6977,17372,9,crew,2
93,claude-3-5-sonnet,claude-3-5-sonnet,6760,16709,9,crew,2
94,claude-3-5-sonnet,claude-3-5-sonnet,5480,13981,8,crew,1
